,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,Slat,Slon,Elat,Elon
100,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:15,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
96,01/01/2021 01:22,571,"Westfield Southern Terrace ,Shepherd's Bush",21-01-01 00:15,762,"Storey's Gate, Westminster",51.50070305,-0.129698963,51.506256,-0.218337
95,01/01/2021 01:00,329,"Prince Albert Road, The Regent's Park",21-01-01 00:15,386,"Moor Street, Soho",51.51352755,-0.130110822,51.53589283,-0.160854428
94,01/01/2021 00:51,173,"Waterloo Road, South Bank",21-01-01 00:15,343,"London Zoo Car Park, The Regent's Park",51.53692216,-0.150181444,51.50486,-0.113001
93,01/01/2021 00:51,173,"Waterloo Road, South Bank",21-01-01 00:15,343,"London Zoo Car Park, The Regent's Park",51.53692216,-0.150181444,51.50486,-0.113001
97,01/01/2021 00:25,138,"Green Street, Mayfair",21-01-01 00:15,99,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,51.51227622,-0.157436972
115,01/01/2021 00:51,354,"Northumberland Avenue, Strand",21-01-01 00:16,334,"Concert Hall Approach 1, South Bank",51.505044,-0.115851,51.506767,-0.123702
114,01/01/2021 00:51,354,"Northumberland Avenue, Strand",21-01-01 00:16,334,"Concert Hall Approach 1, South Bank",51.505044,-0.115851,51.506767,-0.123702
113,01/01/2021 00:21,91,"Walnut Tree Walk, Vauxhall",21-01-01 00:16,139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,51.49368637,-0.111014912
112,01/01/2021 00:21,91,"Walnut Tree Walk, Vauxhall",21-01-01 00:16,139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,51.49368637,-0.111014912
111,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:16,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
109,01/01/2021 00:42,154,"Waterloo Station 3, Waterloo",21-01-01 00:16,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50379168,-0.11282408
110,01/01/2021 00:19,64,"William IV Street, Strand",21-01-01 00:16,64,"William IV Street, Strand",51.50946212,-0.124749274,51.50946212,-0.124749274
107,01/01/2021 00:25,78,"Sadlers Sports Centre, Finsbury",21-01-01 00:16,136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,51.52486887,-0.099489485
106,01/01/2021 00:44,409,"Strata, Elephant & Castle",21-01-01 00:16,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,51.493146,-0.099828
105,01/01/2021 01:18,195,"Milroy Walk, South Bank",21-01-01 00:16,338,"Wellington Street , Strand",51.51175646,-0.119643424,51.50724437,-0.106237501
